title,media,date,datetime,desc,link,img
Paytm's Vijay Shekhar Sharma's e-commerce entry? What we know so far,ET Now,1 hour ago,2024-04-06 16:33:32.013838,"Pai Platforms, backed by Paytm founder Vijay Shekhar Sharma, has launched a fresh shopping app on the Open Network for Digital Commerce (ONDC) platform,...",https://www.etnownews.com/companies/paytms-vijay-shekhar-sharmas-e-commerce-entry-what-we-know-so-far-article-109087962&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIBxAC&usg=AOvVaw3Ab2mdd654SUJ9u4ofOCDH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Kochi Metro Update: Commuters can now buy tickets on Yatri, Paytm, Rapido, redBus",Asianet Newsable,1 hour ago,2024-04-06 16:33:32.028847,"Kochi Metro Rail has integrated with the ONDC after Chennai Metro. Commuters of Kochi Metro can now book tickets on Yatri, Paytm, Rapido, and redBus.",https://newsable.asianetnews.com/kerala-news/kochi-metro-update-commuters-can-now-buy-tickets-on-yatri-paytm-rapido-redbus-anr-sbiouu&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIABAC&usg=AOvVaw0qMl-t5B8zLSTfChr1PkiF,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm's E-commerce Wing Rebrands as Pai Platforms, Steps into ONDC with Bitsila Acquisition",PC-Tablet India,1 hour ago,2024-04-06 16:33:32.044518,"Paytm E-commerce transforms into Pai Platforms and acquires ONDC seller Bitsila, marking a significant move in India's e-commerce sector.",https://www.pc-tablet.co.in/paytms-e-commerce-wing-rebrands-as-pai-platforms-steps-into-ondc-with-bitsila-acquisition/14888/&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIBBAC&usg=AOvVaw3XoqIBvP91GKPsBFQ9hM80,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm's Q4 Preview: Expected Loss Of Rs 469 Cr, Motilal Forecasts 23% GMV Decline",BW Businessworld,2 hours ago,2024-04-06 15:33:32.044518,"The domestic brokerage foresees a decrease in Paytm's disbursements and gross merchandise value, along with a decline in overall revenue growth, , paytm,...",https://www.businessworld.in/article/Paytm-s-Q4-Preview-Expected-Loss-Of-Rs-469-Cr-Motilal-Forecasts-23-GMV-Decline/06-04-2024-516149&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIAhAC&usg=AOvVaw33pQRnCINYJurAQbNbdjHz,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm's Vijay Shekhar Sharma uses ChatGpt to know about cooking oil, netizens react",Business Today,3 hours ago,2024-04-06 14:33:32.060153,"While tweeting the tweet, Paytm founder Vijay Shekhar Sharma used ChatGpt to get more details on this and according to GPT 4's response, repeatedly heating...",https://www.businesstoday.in/latest/trends/story/paytms-vijay-shekhar-sharma-uses-chatgpt-to-know-about-cooking-oil-netizens-react-424559-2024-04-06&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIBhAC&usg=AOvVaw0lspMme1gCTM_aFccqndWI,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm parent co to grant 91,250 stock options",dtnext,7 hours ago,2024-04-06 10:33:32.076203,"NEW DELHI: Paytm parent company One97 Communications on Friday announced approval of grant of 91,250 stock options under ESOP 2019.",https://www.dtnext.in/news/business/paytm-parent-co-to-grant-91250-stock-options-778234&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIAxAC&usg=AOvVaw3c9U_JGxmC2aITyJZXZVGu,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm parent One97 Communication approves grant of 91,250 stock options",MSN,6 hours ago,2024-04-06 11:33:32.076203,"Paytm parent company One97 Communications on Friday announced the approval of a grant of 91,250 stock options under ESOP 2019.",https://www.msn.com/en-in/money/news/paytm-parent-one97-communication-approves-grant-of-91-250-stock-options/ar-BB1l7BIU&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIBRAC&usg=AOvVaw2TsnqNkdFxJZAN_CtYqWEN,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Paytm Allots Stock Options, Equity Shares To Eligible Employees",BW Businessworld,9 hours ago,2024-04-06 08:33:32.076203,"According to the stock exchange filing, each stock option under the ESOP 2019 is convertible into one fully paid-up equity share with a face value of Rs 1...",https://www.businessworld.in/article/Paytm-Allots-Stock-Options-Equity-Shares-To-Eligible-Employees/05-04-2024-516110&ved=2ahUKEwjipLrixa2FAxVF9zgGHU8-DxsQxfQBegQIARAC&usg=AOvVaw2mtHr7WEscdPH7PF-PmDl0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
